Last_Update,Copy_of_Confirmed,Copy_of_Deaths,Copy_of_Recovered,Daily_Confirmed,Daily_Deaths,Daily_Recovered
2020-01-22,555,17,28,555.0,17.0,30.0
2020-01-23,653,18,30,98.0,1.0,2.0
2020-01-24,941,26,36,288.0,8.0,6.0
2020-01-25,1438,42,40,497.0,16.0,3.0
2020-01-26,2118,56,52,680.0,14.0,13.0
2020-01-27,2927,82,61,809.0,26.0,9.0
2020-01-28,5578,131,107,2651.0,49.0,46.0
2020-01-29,6165,133,126,587.0,2.0,19.0
2020-01-30,8235,171,143,2070.0,38.0,17.0
2020-01-31,10151,213,239,1916.0,42.0,96.0
2020-02-01,12136,259,288,1985.0,46.0,49.0
2020-02-02,16798,366,463,4662.0,107.0,175.0
2020-02-03,19794,425,617,2996.0,59.0,154.0
2020-02-04,23982,491,866,4188.0,66.0,249.0
2020-02-05,27560,563,1120,3578.0,72.0,254.0
2020-02-06,30798,633,1507,3238.0,70.0,387.0
2020-02-07,34458,723,2000,3660.0,90.0,493.0
2020-02-08,37064,805,2646,2606.0,82.0,646.0
2020-02-09,40237,905,3251,3173.0,100.0,605.0
2020-02-10,42696,1012,3905,2459.0,107.0,654.0
2020-02-11,44582,1112,4689,1886.0,100.0,784.0
2020-02-12,45377,1126,5188,795.0,14.0,499.0
2020-02-13,60139,1370,6302,14762.0,244.0,1114.0
2020-02-17,73162,1867,12529,73097.0,1867.0,12486.0
2020-02-18,74966,2004,14279,1804.0,137.0,1750.0
2020-03-01,87584,2993,42690,86677.0,2987.0,42581.0
2020-03-02,91382,3085,46191,3798.0,92.0,3501.0
2020-03-03,94538,3169,48693,3156.0,84.0,2502.0
2020-03-04,93890,3236,50727,-648.0,67.0,2034.0
2020-03-05,97241,3339,54123,3351.0,103.0,3396.0
2020-03-06,105998,3473,57666,8757.0,134.0,3543.0
2020-03-15,133342,4485,73746,-60614.0,-3328.0,-18865.0
2020-03-16,169719,7039,74861,36377.0,2554.0,1115.0
2020-03-17,182888,7762,74035,13169.0,723.0,-826.0
2020-03-18,202608,8646,77383,19720.0,884.0,3348.0
2020-03-19,225976,9703,76133,23368.0,1057.0,-1250.0
2020-03-20,257815,11163,80698,31839.0,1460.0,4565.0
2020-03-21,287778,12785,82764,29963.0,1622.0,2066.0
2020-04-04,1191067,64555,233589,1190047.0,64549.0,232637.0
2020-04-05,1268898,69316,250340,77831.0,4761.0,16751.0
2020-04-06,1346759,74647,271571,77861.0,5331.0,21231.0
2020-04-07,1421230,81825,288547,74471.0,7178.0,16976.0
2020-04-08,1504171,88274,314931,82941.0,6449.0,26384.0
2020-04-09,1606588,95525,358193,102417.0,7251.0,43262.0
2020-04-10,1699900,102468,377346,93312.0,6943.0,19153.0
2020-04-11,1768115,108465,391459,68215.0,5997.0,14113.0
2020-04-12,1842158,114060,409869,74043.0,5595.0,18410.0
2020-04-13,1911054,119420,434939,68896.0,5360.0,25070.0
2020-04-14,1987803,126242,478257,76749.0,6822.0,43318.0
2020-04-15,2053241,134129,500534,65438.0,7887.0,22277.0
2020-04-16,2147060,143764,528634,93819.0,9635.0,28100.0
2020-04-17,2239689,153804,559868,92629.0,10040.0,31234.0
2020-04-18,2320572,159489,587392,80883.0,5685.0,27524.0
2020-04-19,2396784,165006,611439,76212.0,5517.0,24047.0
2020-04-20,2465937,169951,631347,69153.0,4945.0,19908.0
2020-04-21,2541573,176507,664029,75636.0,6556.0,32682.0
2020-04-22,2735713,187593,695752,194140.0,11086.0,31723.0
2020-04-24,2723673,191158,735339,2587865.0,185669.0,734012.0
2020-04-25,2815899,197376,780987,92226.0,6218.0,45648.0
2020-04-26,2892398,203056,799151,76499.0,5680.0,18164.0
2020-04-27,2902692,206013,913268,10294.0,2957.0,114117.0
2020-04-28,2917651,200646,811265,-85041.0,-5367.0,-102003.0
2020-04-29,3116398,217153,919736,298747.0,16507.0,108471.0
2020-04-30,3193886,227638,963660,77488.0,10485.0,43924.0
2020-05-01,3256846,233388,1005681,62960.0,5750.0,42021.0
2020-05-02,3343777,238650,1044204,86931.0,5262.0,38523.0
2020-05-03,3427343,243808,1083929,83566.0,5158.0,39725.0
2020-05-04,3506729,247470,1116019,79386.0,3662.0,32090.0
2020-05-05,3583055,251537,1153441,76326.0,4067.0,37422.0
2020-05-06,3662691,257239,1189499,79636.0,5702.0,36058.0
2020-05-07,3755341,263831,1235994,92650.0,6592.0,46495.0
2020-05-08,3845718,269567,1275257,90377.0,5736.0,39263.0
2020-05-09,3938064,274898,1312482,92346.0,5331.0,37225.0
2020-05-10,4024009,279311,1366014,85945.0,4413.0,53532.0
2020-05-11,4101699,282709,1399348,77690.0,3398.0,33334.0
2020-05-12,4177504,286330,1446539,75805.0,3621.0,47191.0
2020-05-13,4261955,291964,1483719,84451.0,5634.0,37180.0
2020-05-14,4347018,297197,1538779,85063.0,5233.0,55060.0
2020-05-15,4442163,302418,1578066,95145.0,5221.0,39287.0
2020-05-16,4542347,307666,1627210,100184.0,5248.0,49144.0
2020-05-17,4634068,311781,1683303,91721.0,4115.0,56093.0
2020-05-18,4713620,315185,1724053,79552.0,3404.0,40750.0
2020-05-19,4801943,318481,1776931,88323.0,3296.0,52878.0
2020-05-20,4897492,323285,1828923,95549.0,4804.0,51992.0
2020-05-21,4996472,328115,1887325,98980.0,4830.0,58402.0
2020-05-22,5102424,332924,1938571,105952.0,4809.0,51246.0
2020-05-23,5210817,338160,2046443,108393.0,5236.0,107872.0
2020-05-24,5310362,342097,2101966,99545.0,3937.0,55523.0
2020-05-25,5407613,345059,2158331,97251.0,2962.0,56365.0
2020-05-26,5495061,346232,2221457,87448.0,1173.0,63126.0
2020-05-27,5589626,350453,2276655,94565.0,4221.0,55198.0
2020-05-28,5691790,355629,2339742,102164.0,5176.0,63087.0
2020-05-29,5808946,360308,2405591,117156.0,4679.0,65849.0
